,Pages,Date
0,374,Published October 14th 2008 by Scholastic Press (first published September 14th 2008)
1,870,Published September 2004 by Scholastic Inc. (first published June 21st 2003)
2,336,Published May 23rd 2006 by Harper Perennial Modern Classics (first published July 11th 1960)
3,279,Published October 10th 2000 by Modern Library (first published March 1st 1813)
4,498,"Published September 6th 2006 by Little, Brown and Company (first published October 5th 2005)"
5,552,Published March 14th 2006 by Alfred A. Knopf (first published September 1st 2005)
6,141,Published April 1996 by Signet Classics (first published August 17th 1945)
7,767,Published 2014 by HarperCollins (first published 1956)
8,1728,Published September 25th 2012 by Ballantine Books (first published October 20th 1955)
9,1037,Published April 1st 1999 by Warner Books (first published June 30th 1936)
10,193,Published June 23rd 2007 by Del Rey (first published October 12th 1979)
11,64,Published October 7th 1964 by HarperCollins Publishers (first published 1964)
12,464,Published 2002 by Norton (first published December 1847)
13,272,Published June 1st 2004 by Random House: Modern Library (first published June 20th 1890)
14,272,Published June 1st 2004 by Random House: Modern Library (first published June 20th 1890)
15,489,Published March 28th 2006 by Anchor (first published March 18th 2003)
16,532,Published February 4th 2003 by Penguin (first published October 16th 1847)
17,503,Published November 22nd 2005 by Vintage Books USA (first published September 23rd 1997)
18,239,Published December 1st 2000 by Penguin Group (USA) (first published December 27th 1871)
19,1213,Published February 1999 by MTV Books/Pocket Books
20,1463,Published March 3rd 1987 by Penguin (first published 1862)
21,60194,Published November 29th 2011 by Simon & Schuster (first published October 13th 1953)
22,309,Published November 1st 2003 by Scholastic Inc (first published June 26th 1997)
23,487,Published February 28th 2012 by Katherine Tegen Books (first published April 25th 2011)
24,200,Published September 2004 by Scribner (first published April 10th 1925)
25,25182,Published April 15th 2014 by HarperOne (first published 1988)
26,671,Published December 31st 2002 by Penguin (first published 1866)
27,20182,Published October 1st 1999 by Penguin Books (first published September 17th 1954)
28,281,Published 2002 by Washington Square Press (first published 1597)
29,96,"Published June 29th 2000 by Harcourt, Inc. (first published April 6th 1943)"
30,485,Published March 27th 2007 by Margaret K. McElderry Books
31,320,Published May 6th 2003 by Signet Book (first published 1908)
32,1464,Published February 10th 2009 by G.P. Putnam's Sons
33,324,Published September 30th 2004 by Tor (first published January 15th 1985)
34,377,Published March 1st 2006 by Disney Hyperion Books (first published June 28th 2005)
35,184,Published October 1st 2001 by HarperCollinsPublishers (first published October 15th 1952)
36,112,Published 2002 by Penguin Books (first published February 25th 1937)
37,488,Published May 12th 1986 by Norton (first published May 26th 1897)
38,500,Published September 23rd 2013 by Zola Books (first published July 5th 2003)
39,268,Published September 1st 1998 by HarperPerennial / Perennial Classics (first published 1932)
40,417,Published June 24th 2003 by Harper (first published 1967)
41,277,Published January 30th 2001 by Back Bay Books (first published July 16th 1951)
